,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,genre
0,0.711,0.718,7,-8.508,1,0.045,0.719,0.925,0.102,0.964,115.365,audio_features,6tWVMFlSwTPVOgeWBQMapG,spotify:track:6tWVMFlSwTPVOgeWBQMapG,https://api.spotify.com/v1/tracks/6tWVMFlSwTPVOgeWBQMapG,https://api.spotify.com/v1/audio-analysis/6tWVMFlSwTPVOgeWBQMapG,209267,4,The Shaskeen Ceili Band,ceilidh
1,0.375,0.638,7,-10.019,1,0.117,0.0385,0.81,0.204,0.312,153.053,audio_features,0o2eskG4wNCUrQwJKU3GUY,spotify:track:0o2eskG4wNCUrQwJKU3GUY,https://api.spotify.com/v1/tracks/0o2eskG4wNCUrQwJKU3GUY,https://api.spotify.com/v1/audio-analysis/0o2eskG4wNCUrQwJKU3GUY,216013,4,The Celtic Ceili Band,ceilidh
2,0.686,0.559,7,-6.453,1,0.0346,0.748,0.0,0.0884,0.836,123.107,audio_features,49vaQ2CWt3tcSwymZOkH4B,spotify:track:49vaQ2CWt3tcSwymZOkH4B,https://api.spotify.com/v1/tracks/49vaQ2CWt3tcSwymZOkH4B,https://api.spotify.com/v1/audio-analysis/49vaQ2CWt3tcSwymZOkH4B,230133,5,Kilfenora Céilí Band,ceilidh
3,0.624,0.628,2,-7.361,1,0.0467,0.809,0.169,0.0982,0.977,125.467,audio_features,1q6jvelW7QGAN9nDl9XABI,spotify:track:1q6jvelW7QGAN9nDl9XABI,https://api.spotify.com/v1/tracks/1q6jvelW7QGAN9nDl9XABI,https://api.spotify.com/v1/audio-analysis/1q6jvelW7QGAN9nDl9XABI,162226,4,Dartry Ceili Band,ceilidh
4,0.555,0.442,11,-13.64,0,0.0495,0.485,0.922,0.0965,0.608,131.2,audio_features,0yL4ut7gK0LIy55TLveDkP,spotify:track:0yL4ut7gK0LIy55TLveDkP,https://api.spotify.com/v1/tracks/0yL4ut7gK0LIy55TLveDkP,https://api.spotify.com/v1/audio-analysis/0yL4ut7gK0LIy55TLveDkP,86067,4,The Irish Ceili Band,ceilidh
5,0.404,0.405,11,-6.332,0,0.0348,0.904,3.56e-06,0.226,0.515,175.697,audio_features,4PFsiPjuu7W6cXehxyxt1W,spotify:track:4PFsiPjuu7W6cXehxyxt1W,https://api.spotify.com/v1/tracks/4PFsiPjuu7W6cXehxyxt1W,https://api.spotify.com/v1/audio-analysis/4PFsiPjuu7W6cXehxyxt1W,217827,4,Kilfenora Céilí Band,ceilidh
6,0.63,0.793,11,-13.092,0,0.0446,0.243,0.963,0.174,0.968,122.062,audio_features,3z4Ty4vUNZCyvjq05NiP6m,spotify:track:3z4Ty4vUNZCyvjq05NiP6m,https://api.spotify.com/v1/tracks/3z4Ty4vUNZCyvjq05NiP6m,https://api.spotify.com/v1/audio-analysis/3z4Ty4vUNZCyvjq05NiP6m,334067,4,Eamonn Ceant,ceilidh
7,0.229,0.36,2,-9.327,1,0.038,0.826,0.0,0.319,0.441,50.126,audio_features,7gL0N2c9TnBnZuZETf5GKc,spotify:track:7gL0N2c9TnBnZuZETf5GKc,https://api.spotify.com/v1/tracks/7gL0N2c9TnBnZuZETf5GKc,https://api.spotify.com/v1/audio-analysis/7gL0N2c9TnBnZuZETf5GKc,260947,4,Kilfenora Céilí Band,ceilidh
8,0.601,0.807,2,-2.955,1,0.0397,0.687,0.283,0.0516,0.965,128.093,audio_features,3mOTX8NKV4oPMWAXbATvst,spotify:track:3mOTX8NKV4oPMWAXbATvst,https://api.spotify.com/v1/tracks/3mOTX8NKV4oPMWAXbATvst,https://api.spotify.com/v1/audio-analysis/3mOTX8NKV4oPMWAXbATvst,222027,4,Kilfenora Céilí Band,ceilidh
9,0.515,0.683,0,-9.966,1,0.039,0.166,1.84e-06,0.0956,0.657,105.981,audio_features,0yDZpPGpZumOb1bUKJZxti,spotify:track:0yDZpPGpZumOb1bUKJZxti,https://api.spotify.com/v1/tracks/0yDZpPGpZumOb1bUKJZxti,https://api.spotify.com/v1/audio-analysis/0yDZpPGpZumOb1bUKJZxti,313493,4,Ceili Rain,ceilidh
10,0.548,0.196,2,-16.543,1,0.0337,0.743,6.78e-05,0.0789,0.633,85.804,audio_features,74YMkuZdZYHYF5yTcUlZ6j,spotify:track:74YMkuZdZYHYF5yTcUlZ6j,https://api.spotify.com/v1/tracks/74YMkuZdZYHYF5yTcUlZ6j,https://api.spotify.com/v1/audio-analysis/74YMkuZdZYHYF5yTcUlZ6j,209907,4,The Irish Ceili Band,ceilidh
11,0.558,0.789,0,-8.663,1,0.0375,0.113,0.00448,0.0343,0.85,106.349,audio_features,66QxGFRzqoQxani2GNuQJr,spotify:track:66QxGFRzqoQxani2GNuQJr,https://api.spotify.com/v1/tracks/66QxGFRzqoQxani2GNuQJr,https://api.spotify.com/v1/audio-analysis/66QxGFRzqoQxani2GNuQJr,155945,4,Gunna Sound Ceilidh Band,ceilidh
12,0.413,0.26,7,-9.974,1,0.0318,0.685,0.000104,0.226,0.45,150.063,audio_features,53a2HS1PBaR3Dt8rJaVvLw,spotify:track:53a2HS1PBaR3Dt8rJaVvLw,https://api.spotify.com/v1/tracks/53a2HS1PBaR3Dt8rJaVvLw,https://api.spotify.com/v1/audio-analysis/53a2HS1PBaR3Dt8rJaVvLw,200373,3,Kilfenora Céilí Band,ceilidh
13,0.747,0.745,7,-6.548,1,0.0395,0.499,0.904,0.0226,0.887,121.764,audio_features,2K7TzvOpAm8gejq6Ce7Gfw,spotify:track:2K7TzvOpAm8gejq6Ce7Gfw,https://api.spotify.com/v1/tracks/2K7TzvOpAm8gejq6Ce7Gfw,https://api.spotify.com/v1/audio-analysis/2K7TzvOpAm8gejq6Ce7Gfw,133360,4,The Lothian Scottish Dance Band,ceilidh
